Outage ID,Platts Outage ID,ECPTA ID,Name,Country,Planning Status,Unit,start_date,end_date,Volume,Edited
12156,,75,Sinopec Guangzhou Refinery,China,Planned,CDU,2025-11-01,2025-12-31,160,Yes
12161,,608,PetroChina Yunnan Petrochemical,China,Planned,CDU,2025-10-15,2025-12-03,260,Yes
12098,12098,293,Sines Refinery,Portugal,Planned,CDU,2025-10-01,2025-10-31,212.9,No
12099,12099,293,Sines Refinery,Portugal,Planned,FCU,2025-10-01,2025-10-31,40,No
12100,12100,293,Sines Refinery,Portugal,Planned,HCU,2025-10-01,2025-10-31,52.2,No
12101,12101,293,Sines Refinery,Portugal,Planned,Reformer,2025-10-01,2025-10-31,24.99,No
12102,12102,208,Busalla Refinery,Italy,Planned,CDU,2025-09-15,2025-10-15,40,No
12103,12103,208,Busalla Refinery,Italy,Planned,HCU,2025-09-15,2025-10-15,10,No
12155,,107,Sinopec Zhenhai Refinery,China,Planned,CDU,2025-09-01,2025-10-31,200,Yes
12160,,72,PetroChina Fushun Refinery,China,Planned,CDU,2025-08-25,2025-10-18,230,Yes
12124,12124,339,Ras Tanura Refinery,Saudi Arabia,Planned,CDU,2025-08-15,2025-09-15,225,No
12125,12125,339,Ras Tanura Refinery,Saudi Arabia,Planned,Reformer,2025-08-15,2025-09-15,90,No
12154,,103,Sinopec Yanshan Refinery,China,Planned,CDU,2025-05-20,2025-07-12,270,Yes
12159,,512,PetroChina Dagang Petrochemical,China,Planned,CDU,2025-05-15,2025-07-13,100,Yes
12152,,82,Sinopec Jinling Refinery,China,Planned,CDU,2025-05-04,2025-06-10,60,Yes
12153,,83,Sinopec Shanghai Refinery,China,Planned,CDU,2025-05-03,2025-06-16,160,Yes
12121,12121,173,MRPL Mangalore Refinery,India,Planned,CDU,2025-05-01,2025-06-01,144,No
12122,12122,173,MRPL Mangalore Refinery,India,Planned,Reformer,2025-05-01,2025-06-01,63.63,No
12151,,98,Sinopec Tianjin Refinery,China,Planned,CDU,2025-04-15,2025-06-01,200,Yes
12104,12104,207,Augusta Refinery,Italy,Planned,CDU,2025-04-15,2025-05-15,110,No
12105,12105,207,Augusta Refinery,Italy,Planned,FCU,2025-04-15,2025-05-15,50,No
12107,12107,207,Augusta Refinery,Italy,Planned,Reformer,2025-04-15,2025-05-15,22.15,No
12158,,84,PetroChina Jinxi Petrochemical,China,Planned,CDU,2025-04-10,2025-05-28,140,Yes
12150,,94,Sinopec Qilu Petrochemical,China,Planned,CDU,2025-04-02,2025-05-05,80,Yes
12149,,85,Sinopec Jiujiang Refinery,China,Planned,CDU,2025-04-01,2025-05-31,200,Yes
12087,12087,338,Rabigh Refinery,Saudi Arabia,Planned,CDU,2025-04-01,2025-04-30,400.02,No
12088,12088,338,Rabigh Refinery,Saudi Arabia,Planned,FCU,2025-04-01,2025-04-30,82.99,No
12089,12089,338,Rabigh Refinery,Saudi Arabia,Planned,HCU,2025-04-01,2025-04-30,100,No
12090,12090,338,Rabigh Refinery,Saudi Arabia,Planned,Reformer,2025-04-01,2025-04-30,80,No
12162,,541,CNOOC Huizhou Petrochemical,China,Planned,CDU,2025-03-25,2025-05-10,200,Yes
12147,,97,Sinopec Shengli Refinery,China,Planned,CDU,2025-03-25,2025-05-04,44,Yes
12146,,517,Sinopec Beihai  Refinery,China,Planned,CDU,2025-03-15,2025-05-15,160,Yes
12145,,79,Sinopec Jinan Refinery,China,Planned,CDU,2025-03-15,2025-04-30,160,Yes
12080,12080,368,Mailiao Refinery,Taiwan,Planned,FCU,2025-03-03,2025-05-10,84,No
12148,,73,Sinopec Gaoqiao Refinery,China,Planned,CDU,2025-03-01,2025-05-01,260,Yes
11907,11907,397,Linden Refinery,United States,Planned,CDU,2025-02-01,2025-03-23,258.01,No
12108,12108,632,Haike Ruilin Refinery,China,Planned,CDU,2025-02-01,2025-03-01,46,No
12109,12109,632,Haike Ruilin Refinery,China,Planned,Coker,2025-02-01,2025-03-01,20.51,No
12110,12110,632,Haike Ruilin Refinery,China,Planned,FCU,2025-02-01,2025-03-01,19.19,No
11790,11790,206,Haifa Refinery,Israel,Planned,HCU,2025-02-01,2025-02-28,25,No
11791,11791,206,Haifa Refinery,Israel,Planned,CDU,2025-02-01,2025-02-28,57,No
12144,,65,Sinopec Hunan Petrochemical,China,Planned,CDU,2025-01-31,2025-01-31,200,Yes
12127,12127,222,ENEOS Chiba Refinery,Japan,Planned,CDU,2025-01-30,2025-03-30,122,No
12132,12132,584,Jizan Refinery,Saudi Arabia,Planned,CDU,2025-01-15,2025-02-28,380,No
12133,12133,584,Jizan Refinery,Saudi Arabia,Planned,HCU,2025-01-15,2025-02-28,120,No
12134,12134,584,Jizan Refinery,Saudi Arabia,Planned,Reformer,2025-01-15,2025-02-28,60,No
12071,12071,207,Augusta Refinery,Italy,Planned,CDU,2025-01-15,2025-02-15,198,No
12072,12072,207,Augusta Refinery,Italy,Planned,FCU,2025-01-15,2025-02-15,50,No
12073,12073,207,Augusta Refinery,Italy,Planned,Reformer,2025-01-15,2025-02-15,22.15,No
12126,12126,184,Cilacap Refinery,Indonesia,Planned,CDU,2025-01-15,2025-02-15,230,No
12141,12141,16,Geelong Refinery,Australia,Unplanned,CDU,2025-01-12,2025-01-26,118,No
12142,12142,16,Geelong Refinery,Australia,Unplanned,FCU,2025-01-12,2025-01-26,38,No
12143,12143,16,Geelong Refinery,Australia,Unplanned,Reformer,2025-01-12,2025-01-26,29.64,No
12131,12131,349,Bilbao Refinery,Spain,Unplanned,CDU,2025-01-09,2025-01-17,120,No
12129,12129,501,Paraguana Refinery,Venezuela,Planned,Reformer,2025-01-06,2025-01-31,40.5,No
12137,12137,304,Sasolburg Refinery,South Africa,Unplanned,CDU,2025-01-05,2025-01-31,102.6,No
12138,12138,304,Sasolburg Refinery,South Africa,Unplanned,FCU,2025-01-05,2025-01-31,28.2,No
12139,12139,304,Sasolburg Refinery,South Africa,Unplanned,HCU,2025-01-05,2025-01-31,14,No
12140,12140,304,Sasolburg Refinery,South Africa,Unplanned,Reformer,2025-01-05,2025-01-31,22.49,No
11397,11397,227,Shikoku Refinery,Japan,Planned,CDU,2024-12-26,2025-03-15,32,No
12123,12123,439,Valero Port Arthur Refinery,United States,Unplanned,CDU,2024-12-26,2024-12-27,115,No
11150,11150,227,Shikoku Refinery,Japan,Planned,CDU,2024-12-25,2025-03-15,106,No
12120,12120,299,SK Ulsan Refinery,South Korea,Unplanned,FCU,2024-12-20,2024-12-27,94.5,No
12130,12130,501,Paraguana Refinery,Venezuela,Unplanned,CDU,2024-12-17,2025-01-31,160,No
12111,12111,223,Hokkaido Refinery,Japan,Unplanned,HCU,2024-12-17,2024-12-31,14.85,No
11546,11546,589,Guangxi Dongyou Asphalt,China,Planned,CDU,2024-12-15,2025-01-31,20,No
11547,11547,589,Guangxi Dongyou Asphalt,China,Planned,FCU,2024-12-15,2025-01-31,10,No
12114,12114,366,Banias Refinery,Syria,Unplanned,CDU,2024-12-13,2025-01-31,135,No
12115,12115,366,Banias Refinery,Syria,Unplanned,HCU,2024-12-13,2025-01-31,26.4,No
12116,12116,366,Banias Refinery,Syria,Unplanned,Reformer,2024-12-13,2025-01-31,21.4,No
12117,12117,367,Homs Refinery,Syria,Unplanned,CDU,2024-12-11,2024-12-18,107.14,No
12118,12118,367,Homs Refinery,Syria,Unplanned,Coker,2024-12-11,2024-12-18,18.2,No
12119,12119,367,Homs Refinery,Syria,Unplanned,Reformer,2024-12-11,2024-12-18,9.8,No
12157,,570,PetroChina Guangxi Qinzhou Petrochemical,China,Planned,CDU,2024-12-10,2025-01-23,200,Yes
12112,12112,267,NRC Europoort Refinery,Netherlands,Unplanned,CDU,2024-12-10,2024-12-17,35,No
12079,12079,370,Tao-Yuan Refinery,Taiwan,Planned,Reformer,2024-12-04,2025-01-17,15,No
12084,12084,414,Cenovus Toledo Refinery,United States,Unplanned,Coker,2024-12-04,2024-12-20,31.47,No
12081,12081,368,Mailiao Refinery,Taiwan,Planned,Coker,2024-12-02,2024-12-26,36,No
11222,11222,65,Sinopec Hunan Petrochemical,China,Planned,CDU,2024-12-01,2025-01-30,159.98,No
12094,12094,42,Burgas Refinery,Bulgaria,Unplanned,CDU,2024-12-01,2024-12-31,139,No
12095,12095,42,Burgas Refinery,Bulgaria,Unplanned,FCU,2024-12-01,2024-12-31,39.61,No
